time,stock,vwap
9:00:00,CLVS,24.28
9:00:00,CLW,33.62
9:00:00,CLWT,3.03
9:00:00,CLX,146.04
9:00:00,CLXT,12.39
9:00:00,CM,84.28
9:00:00,CMA,81.98
9:00:00,CMC,17.21
9:00:00,CMCM,6.79
9:00:00,CMCO,33.89
9:00:00,CMCSA,35.54
9:00:00,CMD,79.1
9:00:00,CME,181.28
9:00:00,CMFN,7.48
9:00:00,CMG,531.15
9:00:00,CMI,145.29
9:00:00,CMO,7.22
9:00:00,CMP,51.5
9:00:00,CMPR,119.5
9:00:00,CMRE,5.0
9:00:00,CMRX,2.24
9:00:00,CMS,50.96
9:00:00,CMSS,10.22
9:00:00,CMTA,13.29
9:00:00,CNA,44.74
9:00:00,CNAT,2.23
9:00:00,CNC,129.85
9:00:00,CNCE,13.75
9:00:00,CNDT,12.67
9:00:00,CNET,1.5
9:00:00,CNI,83.38
9:00:00,CNK,39.94
9:00:00,CNMD,67.99
9:00:00,CNNE,18.52
9:00:00,CNO,17.51
9:00:00,CNOB,20.09
9:00:00,CNP,30.05
9:00:00,CNQ,26.85
9:00:00,CNS,37.1
9:00:00,CNSL,10.2
9:00:00,CNST,6.62
9:00:00,CNTY,7.76
9:00:00,CNX,13.27
9:00:00,CNXN,31.88
9:00:00,COCP,2.82
9:00:00,CODA,5.95
9:00:00,CODX,3.33
9:00:00,COF,79.78
9:00:00,COG,25.7
9:00:00,COHR,110.24
9:00:00,COHU,17.48
9:00:00,COKE,211.67
9:00:00,COLB,36.72
9:00:00,COLD,28.52
9:00:00,COLL,15.79
9:00:00,COLM,88.17
9:00:00,COMM,20.73
9:00:00,CONE,53.05
9:00:00,CONN,21.07
9:00:00,COO,273.85
9:00:00,COOP,14.92
9:00:00,COP,65.9
9:00:00,COPX,19.79
9:00:00,COR,96.94
9:00:00,CORE,27.78
9:00:00,CORT,11.73
9:00:00,COST,210.18
9:00:00,COT,14.99
9:00:00,COTY,7.24
9:00:00,COUP,79.06
9:00:00,COWN,15.5
9:00:00,COWNL,24.99
9:00:00,COWNZ,24.92
9:00:00,CP,206.45
9:00:00,CPA,94.92
9:00:00,CPB,34.42
9:00:00,CPE,8.04
9:00:00,CPF,28.56
9:00:00,CPG,2.92
9:00:00,CPLG,12.17
9:00:00,CPLP,2.22
9:00:00,CPRI,42.9
9:00:00,CPRT,49.93
9:00:00,CPRX,2.39
9:00:00,CPS,74.36
9:00:00,CPSI,26.21
9:00:00,CPST,0.85
9:00:00,CPT,95.97
9:00:00,CPTA,8.16
9:00:00,CQP,40.35
9:00:00,CQQQ,43.58
9:00:00,CR,82.83
9:00:00,CRAI,41.99
9:00:00,CRAY,21.64
9:00:00,CRBP,6.95
9:00:00,CRC,19.66
9:00:00,CRCM,23.36
9:00:00,CREE,48.44
9:00:00,CREG,1.15
9:00:00,CRESY,13.53
9:00:00,CREX,2.46
9:00:00,CRF,11.64
9:00:00,CRH,28.71
9:00:00,CRI,84.03
9:00:00,CRIS,1.18
9:00:00,CRK,5.91
9:00:00,CRL,119.28
9:00:00,CRM,147.25
9:00:00,CRMD,1.82
9:00:00,CRMT,69.9
9:00:00,CRNT,4.2
9:00:00,CRNX,25.1
9:00:00,CRON,18.09
9:00:00,CROP,32.08
9:00:00,CROX,28.62
9:00:00,CRR,4.32
9:00:00,CRS,43.8
9:00:00,CRSP,31.38
9:00:00,CRUS,37.86
9:00:00,CRVL,61.44
9:00:00,CRVS,3.92
9:00:00,CRY,26.85
9:00:00,CRZO,11.58
9:00:00,CS,12.37
9:00:00,CSBR,11.01
9:00:00,CSCO,46.01
9:00:00,CSFL,24.6
9:00:00,CSGP,378.93
9:00:00,CSGS,34.88
9:00:00,CSII,29.07
9:00:00,CSIQ,20.56
9:00:00,CSL,107.09
9:00:00,CSOD,55.0
9:00:00,CSQ,11.69
9:00:00,CSSE,7.68
9:00:00,CSTE,15.03
9:00:00,CSTM,8.19
9:00:00,CSTR,16.01
